Neighborhood,Latitude,Longitude
"►  Agnes Banks, New South Wales‎ (2 P)",-33.61444999999998,150.7108300000001
"►  Alexandria, New South Wales‎ (9 P)",-33.91236999999995,151.19703000000004
"►  Allambie Heights, New South Wales‎ (2 P)",-33.76560999999998,151.25159000000008
"►  Annandale, New South Wales‎ (1 C, 11 P)",-33.88004999999998,151.1713000000001
"►  Appin, New South Wales‎ (3 P)",-34.08473963708334,150.806658540858
"►  Arncliffe, New South Wales‎ (6 P)",-33.93664999999993,151.14679
"►  Artarmon, New South Wales‎ (5 P)",-33.80813999999998,151.18380000000002
"►  Asquith, New South Wales‎ (7 P)",-33.68870999999996,151.1094700000001
"►  Auburn, New South Wales‎ (9 P)",-33.84847999999994,151.02951000000007
"►  Audley, New South Wales‎ (5 P)",-33.897596293986226,151.15457075339873
"►  Avalon Beach, New South Wales‎ (6 P)",-33.63585999999998,151.3280800000001
"►  Balmain East, New South Wales‎ (5 P)",-33.85767999999996,151.19137000000012
"►  Balmain, New South Wales‎ (2 C, 36 P)",-33.85599999999994,151.17587000000003
"►  Banksia, New South Wales‎ (3 P)",-33.94551999999993,151.1414400000001
"►  Bankstown, New South Wales‎ (1 C, 20 P)",-33.914589999999976,151.03428000000008
"►  Bargo, New South Wales‎ (6 P)",-34.078586609872424,151.12971865435884
"►  Baulkham Hills, New South Wales‎ (4 P)",-33.75758999999994,150.9896000000001
"►  Bella Vista, New South Wales‎ (4 P)",-33.73795999999993,150.95551000000012
"►  Bellevue Hill, New South Wales‎ (1 C, 3 P)",-33.87884999999994,151.25407000000007
"►  Belrose, New South Wales‎ (4 P)",-33.728569999999934,151.22090000000003
"►  Bexley, New South Wales‎ (3 P)",-33.95088999999996,151.1255500000001
"►  Birchgrove, New South Wales‎ (11 P)",-33.85185999999993,151.18099000000007
"►  Birrong, New South Wales‎ (3 P)",-33.89235999999994,151.02068000000008
"►  Blakehurst, New South Wales‎ (2 P)",-33.98796999999996,151.11149000000012
